APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Akole,gram,Akole:gram,2014-09-01,3067,3,3142.6859219736966
Akole,gram,Akole:gram,2014-10-01,3100,4,3116.5598129509676
Akole,gram,Akole:gram,2014-11-01,3230,4,3166.510682703176
Akole,gram,Akole:gram,2014-12-01,3235,4,3116.2359844558655
Akole,gram,Akole:gram,2015-01-01,3250,1,3250.4735900091364
Akole,gram,Akole:gram,2015-02-01,3200,1,3294.2797405200477
Akole,gram,Akole:gram,2015-03-01,3225,1,3304.5849684920677
Akole,gram,Akole:gram,2015-04-01,3350,2,3367.895281737336
Akole,gram,Akole:gram,2015-05-01,3500,2,3431.2035261489523
Akole,gram,Akole:gram,2015-06-01,3675,2,3540.082609853263
Akole,gram,Akole:gram,2015-07-01,3525,3,3525.5136630099096
Akole,gram,Akole:gram,2015-08-01,3567,3,3672.0924482609403
Akole,gram,Akole:gram,2015-09-01,3600,3,3688.8390345957964
Akole,gram,Akole:gram,2015-10-01,3500,4,3518.696563009157
Akole,gram,Akole:gram,2015-11-01,3575,4,3504.7293159950013
Akole,gram,Akole:gram,2015-12-01,3650,4,3516.0004152284105
Akole,gram,Akole:gram,2016-01-01,3550,1,3550.5173060099796
Akole,gram,Akole:gram,2016-02-01,3500,1,3603.118466193802
Akole,gram,Akole:gram,2016-03-01,3800,1,3893.774536517785
Akole,gram,Akole:gram,2016-04-01,4383,2,4406.41343876261
Akole,gram,Akole:gram,2016-05-01,5067,2,4967.4023619990685
Akole,gram,Akole:gram,2016-06-01,5300,2,5105.425260468651
Jamkhed,bajri,Jamkhed:bajri,2014-09-01,1400,3,1344.1848542245418
Jamkhed,bajri,Jamkhed:bajri,2014-10-01,1416,4,1388.6248019860675
Jamkhed,bajri,Jamkhed:bajri,2014-11-01,1411,4,1367.9584676596273
Jamkhed,bajri,Jamkhed:bajri,2014-12-01,1394,4,1247.8698378641056
Jamkhed,bajri,Jamkhed:bajri,2015-01-01,1394,1,1418.0178928774144
Jamkhed,bajri,Jamkhed:bajri,2015-02-01,1376,1,1450.9837269469654
Jamkhed,bajri,Jamkhed:bajri,2015-03-01,1375,1,1435.5405479847275
Jamkhed,bajri,Jamkhed:bajri,2015-04-01,1375,2,1405.8167944511094
Jamkhed,bajri,Jamkhed:bajri,2015-05-01,1375,2,1416.2820345204361
Jamkhed,bajri,Jamkhed:bajri,2015-06-01,1372,2,1435.76475417519
Jamkhed,bajri,Jamkhed:bajri,2015-07-01,1431,3,1454.9579217331643
Jamkhed,bajri,Jamkhed:bajri,2015-08-01,1485,3,1466.0436305813046
Jamkhed,bajri,Jamkhed:bajri,2015-09-01,1537,3,1475.7229435308006
Jamkhed,bajri,Jamkhed:bajri,2015-10-01,1520,4,1490.6141942223323
Jamkhed,bajri,Jamkhed:bajri,2015-11-01,1560,4,1512.4133306513243
Jamkhed,bajri,Jamkhed:bajri,2015-12-01,1716,4,1536.1152380020126
Jamkhed,bajri,Jamkhed:bajri,2016-01-01,1536,1,1562.4644788089731
Jamkhed,bajri,Jamkhed:bajri,2016-02-01,1502,1,1583.8499693854228
Jamkhed,bajri,Jamkhed:bajri,2016-03-01,1483,1,1548.295732844619
Jamkhed,bajri,Jamkhed:bajri,2016-04-01,1627,2,1663.4646724159672
Jamkhed,bajri,Jamkhed:bajri,2016-05-01,1650,2,1699.5384414245234
Jamkhed,bajri,Jamkhed:bajri,2016-06-01,1670,2,1747.6145331432708
Jamkhed,bajri,Jamkhed:bajri,2016-07-01,1770,3,1799.6334880976246
Jamkhed,bajri,Jamkhed:bajri,2016-08-01,1663,3,1641.7714192974474
Jamkhed,bajri,Jamkhed:bajri,2016-09-01,1595,3,1531.4106017772458
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2014-09-01,2168,3,2139.5280210524506
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2014-10-01,2136,4,2149.612903177394
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2014-11-01,2105,4,2134.692812005836
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2014-12-01,2055,4,2077.293922083679
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-01-01,2038,1,2049.362101688244
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-02-01,2045,1,2056.9746144511114
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-03-01,2037,1,2064.530959610913
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-04-01,2056,2,2011.8550751755406
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-05-01,2061,2,2067.8190696865468
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-06-01,2121,2,2071.706216897282
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-07-01,2066,3,2074.334862101192
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-08-01,2086,3,2077.7979978460257
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-09-01,2109,3,2081.302858117905
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-10-01,2076,4,2089.2305182566806
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-11-01,2067,4,2096.156789746348
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2015-12-01,2073,4,2095.4891973136087
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2016-04-01,2200,2,2094.6129822456387
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2016-10-01,1950,4,2095.197125624286
Jamkhed,wheat(husked),Jamkhed:wheat(husked),2016-11-01,2133,4,2111.1526700390436
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2014-09-01,2464,3,2364.8938512734076
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2014-10-01,2349,4,2323.9821553306983
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2014-11-01,2514,4,2244.169678408366
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2014-12-01,2468,4,2571.6369654027612
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-01-01,2436,1,2749.5827319417103
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-02-01,2079,1,2338.7771841077106
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-03-01,2301,1,2406.6854663256563
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-04-01,2300,2,2174.523886151783
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-05-01,2169,2,2121.058454892324
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-06-01,2226,2,2251.8892171137054
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-07-01,2288,3,2216.3778931766246
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-08-01,2268,3,2190.6642220603676
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-09-01,2263,3,2171.9784031784584
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-10-01,2186,4,2162.718174352025
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-11-01,2436,4,2174.5415022286315
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2015-12-01,2100,4,2188.183803624716
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-01-01,1945,1,2195.377017088106
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-02-01,1948,1,2191.4083475910634
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-03-01,1980,1,2070.94186150578
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-04-01,2397,2,2266.2320674373145
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-05-01,2358,2,2305.880975858045
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-06-01,2367,2,2394.5291001384276
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-07-01,2321,3,2248.344882020518
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-08-01,2139,3,2066.0629501706903
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-09-01,2032,3,1950.2696046215763
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-10-01,2157,4,2134.0270366318928
Jamkhed,sorgum(jawar),Jamkhed:sorgum(jawar),2016-11-01,2413,4,2154.0101169448635
Kopargaon,bajri,Kopargaon:bajri,2014-09-01,1383,3,1398.2586805555557
Kopargaon,bajri,Kopargaon:bajri,2014-10-01,1363,4,1412.4253472222222
Kopargaon,bajri,Kopargaon:bajri,2014-11-01,1429,4,1409.4253472222222
Kopargaon,bajri,Kopargaon:bajri,2014-12-01,1378,4,1227.3836805555554
Kopargaon,bajri,Kopargaon:bajri,2015-01-01,1400,1,1468.8836805555557
Kopargaon,bajri,Kopargaon:bajri,2015-02-01,1411,1,1405.2586805555557
Kopargaon,bajri,Kopargaon:bajri,2015-03-01,1407,1,1430.3836805555554
Kopargaon,bajri,Kopargaon:bajri,2015-04-01,1401,2,1340.7586805555554
Kopargaon,bajri,Kopargaon:bajri,2015-05-01,1358,2,1268.0711805555554
Kopargaon,bajri,Kopargaon:bajri,2015-06-01,1335,2,1415.592013888889
Kopargaon,bajri,Kopargaon:bajri,2015-07-01,1343,3,1435.0086805555557
Kopargaon,bajri,Kopargaon:bajri,2015-08-01,1453,3,1449.5503472222222
Kopargaon,bajri,Kopargaon:bajri,2015-09-01,1450,3,1465.2586805555557
Kopargaon,bajri,Kopargaon:bajri,2015-10-01,1437,4,1486.4253472222222
Kopargaon,bajri,Kopargaon:bajri,2015-11-01,1541,4,1521.4253472222222
Kopargaon,bajri,Kopargaon:bajri,2015-12-01,1713,4,1562.3836805555554
Kopargaon,bajri,Kopargaon:bajri,2016-01-01,1531,1,1599.8836805555557
Kopargaon,bajri,Kopargaon:bajri,2016-02-01,1629,1,1623.2586805555557
Kopargaon,bajri,Kopargaon:bajri,2016-03-01,1566,1,1589.3836805555554
Kopargaon,bajri,Kopargaon:bajri,2016-04-01,1750,2,1689.7586805555554
Kopargaon,bajri,Kopargaon:bajri,2016-05-01,1849,2,1759.0711805555554
Kopargaon,bajri,Kopargaon:bajri,2016-06-01,1827,2,1907.592013888889
Kopargaon,bajri,Kopargaon:bajri,2016-07-01,1751,3,1843.0086805555557
Kopargaon,bajri,Kopargaon:bajri,2016-08-01,1606,3,1602.5503472222222
Kopargaon,bajri,Kopargaon:bajri,2016-09-01,1613,3,1628.2586805555557
Kopargaon,bajri,Kopargaon:bajri,2016-10-01,1391,4,1440.4253472222222
Kopargaon,bajri,Kopargaon:bajri,2016-11-01,1320,4,1300.4253472222222
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2014-09-01,1569,3,1587.0201344788632
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2014-10-01,1488,4,1417.1569945213319
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2014-11-01,1571,4,1475.8242853451093
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2014-12-01,1568,4,1569.8438454580967
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-01-01,1623,1,1629.1057193629113
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-02-01,1594,1,1594.8557185481263
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-03-01,1529,1,1529.7299711378025
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-04-01,1529,2,1543.1655221961262
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-05-01,1479,2,1555.8045005787537
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-06-01,1550,2,1563.2036452092761
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-07-01,1544,3,1565.394453395967
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-08-01,1542,3,1567.9159496108377
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-09-01,1558,3,1575.8937982906748
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-10-01,1666,4,1586.6824952100396
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-11-01,1703,4,1599.8273443301853
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2015-12-01,1615,4,1616.8991137849657
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-01-01,1629,1,1635.128291338375
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-02-01,1649,1,1649.8852445958971
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-03-01,1667,1,1667.7958547329738
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-04-01,1652,2,1667.3050638770442
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-05-01,1674,2,1760.9308546104353
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-06-01,1768,2,1783.060674019355
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-07-01,1767,3,1791.4844554084675
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-08-01,1676,3,1704.168048993362
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-09-01,1691,3,1710.421317656952
Kopargaon,wheat(husked),Kopargaon:wheat(husked),2016-10-01,1692,4,1611.4446469960305
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2014-09-01,1416,3,1331.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2014-10-01,1400,4,1503.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2014-11-01,1476,4,1408.1458333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2014-12-01,1636,4,1699.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-01-01,1158,1,1274.4375
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-02-01,1486,1,1429.3958333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-03-01,1473,1,1350.5
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-04-01,1324,2,1271.4791666666665
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-05-01,1328,2,1297.7083333333335
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-06-01,1415,2,1373.8125
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-07-01,1267,3,1377.3958333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-08-01,1335,3,1395.1875
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-09-01,1497,3,1412.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-10-01,1339,4,1442.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-11-01,1547,4,1479.1458333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2015-12-01,1448,4,1511.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-01-01,1432,1,1548.4375
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-02-01,1639,1,1582.3958333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-03-01,1747,1,1624.5
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-04-01,1770,2,1717.4791666666665
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-05-01,1750,2,1719.7083333333335
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-06-01,1781,2,1739.8125
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-07-01,1776,3,1886.3958333333333
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-08-01,1641,3,1701.1875
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-09-01,1555,3,1470.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-10-01,1596,4,1699.9791666666667
Kopargaon,sorgum(jawar),Kopargaon:sorgum(jawar),2016-11-01,1963,4,1895.1458333333333
Kopargaon,maize,Kopargaon:maize,2014-09-01,1061,3,963.7158369748041
Kopargaon,maize,Kopargaon:maize,2014-10-01,1117,4,1139.9318427114872
Kopargaon,maize,Kopargaon:maize,2014-11-01,1069,4,1044.4007457486516
Kopargaon,maize,Kopargaon:maize,2014-12-01,1036,4,1027.5521505024888
Kopargaon,maize,Kopargaon:maize,2015-01-01,1135,1,1145.9872542505682
Kopargaon,maize,Kopargaon:maize,2015-02-01,1166,1,1210.6692411253064
Kopargaon,maize,Kopargaon:maize,2015-03-01,1207,1,1229.0438496418249
Kopargaon,maize,Kopargaon:maize,2015-04-01,1226,2,1243.0378785959965
Kopargaon,maize,Kopargaon:maize,2015-05-01,1199,2,1222.0456070675964
Kopargaon,maize,Kopargaon:maize,2015-06-01,1195,2,1267.6717650615062
Kopargaon,maize,Kopargaon:maize,2015-07-01,1345,3,1294.2032657387183
Kopargaon,maize,Kopargaon:maize,2015-08-01,1318,3,1314.769350383161
Kopargaon,maize,Kopargaon:maize,2015-09-01,1466,3,1331.5809773846022
Kopargaon,maize,Kopargaon:maize,2015-10-01,1320,4,1347.099402309009
Kopargaon,maize,Kopargaon:maize,2015-11-01,1398,4,1365.829974327984
Kopargaon,maize,Kopargaon:maize,2015-12-01,1402,4,1390.5676785757619
Kopargaon,maize,Kopargaon:maize,2016-01-01,1405,1,1418.6009623101745
Kopargaon,maize,Kopargaon:maize,2016-02-01,1389,1,1442.212329265052
Kopargaon,maize,Kopargaon:maize,2016-03-01,1387,1,1412.3312505826107
Kopargaon,maize,Kopargaon:maize,2016-04-01,1418,2,1437.7061271200025
Kopargaon,maize,Kopargaon:maize,2016-05-01,1456,2,1483.9853243456382
Kopargaon,maize,Kopargaon:maize,2016-06-01,1531,2,1624.1049977482562
Kopargaon,maize,Kopargaon:maize,2016-07-01,1681,3,1617.5135239455653
Kopargaon,maize,Kopargaon:maize,2016-08-01,1548,3,1544.2055799644409
Kopargaon,maize,Kopargaon:maize,2016-09-01,1633,3,1483.2685784918522
Kopargaon,maize,Kopargaon:maize,2016-10-01,1417,4,1446.0907977817164
Kopargaon,maize,Kopargaon:maize,2016-11-01,1170,4,1143.0765879568967
Kopargaon,gram,Kopargaon:gram,2014-09-01,2493,3,2387.2048611111113
Kopargaon,gram,Kopargaon:gram,2014-10-01,2458,4,2028.9548611111109
Kopargaon,gram,Kopargaon:gram,2014-11-01,2553,4,2556.121527777778
Kopargaon,gram,Kopargaon:gram,2014-12-01,2463,4,2755.454861111111
Kopargaon,gram,Kopargaon:gram,2015-01-01,2538,1,2970.079861111111
Kopargaon,gram,Kopargaon:gram,2015-02-01,3316,1,3985.038194444445
Kopargaon,gram,Kopargaon:gram,2015-03-01,3245,1,3587.913194444445
Kopargaon,gram,Kopargaon:gram,2015-04-01,3681,2,3518.3923611111113
Kopargaon,gram,Kopargaon:gram,2015-05-01,4293,2,3867.1423611111113
Kopargaon,gram,Kopargaon:gram,2015-06-01,4042,2,3674.538194444445
Kopargaon,gram,Kopargaon:gram,2015-07-01,3970,3,3811.163194444445
Kopargaon,gram,Kopargaon:gram,2015-08-01,4006,3,3915.996527777778
Kopargaon,gram,Kopargaon:gram,2015-09-01,4102,3,3996.2048611111113
Kopargaon,gram,Kopargaon:gram,2015-10-01,4536,4,4106.95486111111
Kopargaon,gram,Kopargaon:gram,2015-11-01,4225,4,4228.121527777777
Kopargaon,gram,Kopargaon:gram,2015-12-01,4088,4,4380.45486111111
Kopargaon,gram,Kopargaon:gram,2016-01-01,4192,1,4624.07986111111
Kopargaon,gram,Kopargaon:gram,2016-02-01,4178,1,4847.038194444444
Kopargaon,gram,Kopargaon:gram,2016-03-01,4308,1,4650.913194444444
Kopargaon,gram,Kopargaon:gram,2016-04-01,5276,2,5113.392361111111
Kopargaon,gram,Kopargaon:gram,2016-05-01,5606,2,5180.142361111111
Kopargaon,gram,Kopargaon:gram,2016-06-01,6385,2,6017.538194444444
Kopargaon,gram,Kopargaon:gram,2016-07-01,7474,3,7315.163194444444
Kopargaon,gram,Kopargaon:gram,2016-08-01,5853,3,5762.996527777777
Kopargaon,gram,Kopargaon:gram,2016-09-01,6203,3,6097.204861111111
Kopargaon,gram,Kopargaon:gram,2016-10-01,8179,4,7749.95486111111
Kopargaon,gram,Kopargaon:gram,2016-11-01,6804,4,6807.121527777777
Kopargaon,soybean,Kopargaon:soybean,2014-09-01,3138,3,3420.104166666667
Kopargaon,soybean,Kopargaon:soybean,2014-10-01,2989,4,2839.6875
Kopargaon,soybean,Kopargaon:soybean,2014-11-01,3216,4,3091.8125000000005
Kopargaon,soybean,Kopargaon:soybean,2014-12-01,3199,4,3173.7708333333335
Kopargaon,soybean,Kopargaon:soybean,2015-01-01,3233,1,3238.1875
Kopargaon,soybean,Kopargaon:soybean,2015-02-01,3186,1,3211.9375
Kopargaon,soybean,Kopargaon:soybean,2015-03-01,3160,1,3212.8125
Kopargaon,soybean,Kopargaon:soybean,2015-04-01,3517,2,3257.8333333333335
Kopargaon,soybean,Kopargaon:soybean,2015-05-01,3729,2,3389.5
Kopargaon,soybean,Kopargaon:soybean,2015-06-01,3395,2,3398.8958333333335
Kopargaon,soybean,Kopargaon:soybean,2015-07-01,3255,3,3430.270833333333
Kopargaon,soybean,Kopargaon:soybean,2015-08-01,3110,3,3462.1875
Kopargaon,soybean,Kopargaon:soybean,2015-09-01,3217,3,3499.104166666667
Kopargaon,soybean,Kopargaon:soybean,2015-10-01,3684,4,3534.6875
Kopargaon,soybean,Kopargaon:soybean,2015-11-01,3678,4,3553.8125000000005
Kopargaon,soybean,Kopargaon:soybean,2015-12-01,3594,4,3568.7708333333335
Kopargaon,soybean,Kopargaon:soybean,2016-01-01,3591,1,3596.1875
Kopargaon,soybean,Kopargaon:soybean,2016-02-01,3594,1,3619.9375
Kopargaon,soybean,Kopargaon:soybean,2016-03-01,3638,1,3690.8125
Kopargaon,soybean,Kopargaon:soybean,2016-04-01,3893,2,3633.8333333333335
Kopargaon,soybean,Kopargaon:soybean,2016-05-01,3812,2,3472.5
Kopargaon,soybean,Kopargaon:soybean,2016-06-01,3671,2,3674.8958333333335
Kopargaon,soybean,Kopargaon:soybean,2016-07-01,3637,3,3812.270833333333
Kopargaon,soybean,Kopargaon:soybean,2016-08-01,3298,3,3650.1875
Kopargaon,soybean,Kopargaon:soybean,2016-09-01,3052,3,3334.104166666667
Kopargaon,soybean,Kopargaon:soybean,2016-10-01,2788,4,2638.6875
Kopargaon,soybean,Kopargaon:soybean,2016-11-01,2705,4,2580.8125000000005
Newasa,wheat(husked),Newasa:wheat(husked),2014-09-01,1484,3,1520.919202731284
Newasa,wheat(husked),Newasa:wheat(husked),2014-10-01,1468,4,1486.042539732249
Newasa,wheat(husked),Newasa:wheat(husked),2014-11-01,1481,4,1487.0942225862714
Newasa,wheat(husked),Newasa:wheat(husked),2014-12-01,1494,4,1480.1160518360737
Newasa,wheat(husked),Newasa:wheat(husked),2015-01-01,1509,1,1471.8513911386394
Newasa,wheat(husked),Newasa:wheat(husked),2015-02-01,1490,1,1461.5358548457075
Newasa,wheat(husked),Newasa:wheat(husked),2015-03-01,1478,1,1474.0317935764926
Newasa,wheat(husked),Newasa:wheat(husked),2015-04-01,1481,2,1469.0249092185588
Newasa,wheat(husked),Newasa:wheat(husked),2015-05-01,1472,2,1472.3299880401319
Newasa,wheat(husked),Newasa:wheat(husked),2015-06-01,1463,2,1477.3702332430305
Newasa,wheat(husked),Newasa:wheat(husked),2015-07-01,1475,3,1484.8066605915692
Newasa,wheat(husked),Newasa:wheat(husked),2015-08-01,1483,3,1494.7632105415569
Newasa,wheat(husked),Newasa:wheat(husked),2015-09-01,1469,3,1505.546030196938
Newasa,wheat(husked),Newasa:wheat(husked),2015-10-01,1500,4,1518.4358376010719
Newasa,wheat(husked),Newasa:wheat(husked),2015-11-01,1529,4,1535.2917395910931
Newasa,wheat(husked),Newasa:wheat(husked),2015-12-01,1568,4,1553.4283596244736
Newasa,wheat(husked),Newasa:wheat(husked),2016-01-01,1615,1,1575.241879846854
Newasa,wheat(husked),Newasa:wheat(husked),2016-02-01,1625,1,1593.9568886740099
Newasa,wheat(husked),Newasa:wheat(husked),2016-03-01,1604,1,1599.6935026364642
Newasa,wheat(husked),Newasa:wheat(husked),2016-04-01,1667,2,1653.5209477834824
Newasa,wheat(husked),Newasa:wheat(husked),2016-05-01,1694,2,1694.379755258141
Newasa,wheat(husked),Newasa:wheat(husked),2016-06-01,1680,2,1696.501703245585
Newasa,wheat(husked),Newasa:wheat(husked),2016-07-01,1786,3,1797.8743700451134
Newasa,wheat(husked),Newasa:wheat(husked),2016-08-01,1625,3,1637.8895597640121
Newasa,wheat(husked),Newasa:wheat(husked),2016-09-01,1617,3,1657.227999202484
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2014-10-01,1681,4,1691.3715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2014-11-01,1750,4,1724.3715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2014-12-01,1717,4,1699.3298611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-01-01,1675,1,1701.9548611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-02-01,1627,1,1654.9548611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-03-01,1594,1,1570.954861111111
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-04-01,1648,2,1621.2881944444443
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-05-01,1589,2,1644.1631944444443
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-06-01,1653,2,1640.0798611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-07-01,1639,3,1637.454861111111
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-08-01,1612,3,1637.2048611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-09-01,1681,3,1642.8715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-10-01,1641,4,1651.3715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-11-01,1685,4,1659.3715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2015-12-01,1684,4,1666.3298611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-01-01,1645,1,1671.9548611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-02-01,1651,1,1678.9548611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-03-01,1706,1,1682.954861111111
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-04-01,1740,2,1713.2881944444443
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-05-01,1689,2,1744.1631944444443
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-06-01,1720,2,1707.0798611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-07-01,1707,3,1705.454861111111
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-08-01,1712,3,1737.2048611111113
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-09-01,1677,3,1638.8715277777778
Pathardi,sorgum(jawar),Pathardi:sorgum(jawar),2016-10-01,1719,4,1729.3715277777778
Rahata,bajri,Rahata:bajri,2014-09-01,1397,3,1322.5270638430197
Rahata,bajri,Rahata:bajri,2014-10-01,1395,4,1566.269404327028
Rahata,bajri,Rahata:bajri,2014-11-01,1327,4,1404.2359157473402
Rahata,bajri,Rahata:bajri,2014-12-01,1206,4,1148.4710053085887
Rahata,bajri,Rahata:bajri,2015-01-01,1357,1,1346.455650401884
Rahata,bajri,Rahata:bajri,2015-02-01,1317,1,1288.4314920321258
